1,Argentina,ARG,1621.32,1646,0,934.24,934.24,571.17,285.59,949.24,284.77,583.64,116.73,CONMEBOL,10/20/16
1,Argentina,ARG,1634.02,1621,0,903.24,903.24,662.66,331.33,937.59,281.28,590.9,118.18,CONMEBOL,11/24/16
1,Argentina,ARG,1634.02,1634,0,903.24,903.24,662.66,331.33,937.59,281.28,590.9,118.18,CONMEBOL,12/22/16
1,Argentina,ARG,1634.02,1634,0,903.24,903.24,662.66,331.33,937.59,281.28,590.9,118.18,CONMEBOL,1/12/17
1,Argentina,ARG,1634.89,1634,0,903.24,903.24,662.66,331.33,937.59,281.28,595.26,119.05,CONMEBOL,2/9/17
1,Argentina,ARG,1644.27,1635,0,903.24,903.24,662.66,331.33,992.63,297.79,559.57,111.91,CONMEBOL,3/9/17
2,Argentina,ARG,1603.01,1644,-1,839.74,839.74,769.42,384.71,919.87,275.96,512.98,102.6,CONMEBOL,4/6/17
2,Argentina,ARG,1603.01,1603,0,839.74,839.74,769.42,384.71,919.87,275.96,512.98,102.6,CONMEBOL,5/4/17
2,Argentina,ARG,1626.23,1603,0,877.12,877.12,741.1,370.55,919.87,275.96,512.98,102.6,CONMEBOL,6/1/17
3,Argentina,ARG,1412.53,1626,-1,590.38,590.38,845.9,422.95,617.24,185.17,1070.17,214.03,CONMEBOL,7/6/17
3,Argentina,ARG,1399.02,1413,0,590.38,590.38,845.9,422.95,599.7,179.91,1028.9,205.78,CONMEBOL,8/10/17
4,Argentina,ARG,1325.27,1399,-1,489.38,489.38,928.24,464.12,557.25,167.18,1022.99,204.6,CONMEBOL,9/14/17
4,Argentina,ARG,1444.69,1325,0,616.38,616.38,934.24,467.12,571.17,171.35,949.24,189.85,CONMEBOL,10/16/17
4,Argentina,ARG,1348.36,1445,0,510.42,510.42,903.24,451.62,662.66,198.8,937.59,187.52,CONMEBOL,11/23/17
4,Argentina,ARG,1348.36,1348,0,510.42,510.42,903.24,451.62,662.66,198.8,937.59,187.52,CONMEBOL,12/21/17
4,Argentina,ARG,1348.36,1348,0,510.42,510.42,903.24,451.62,662.66,198.8,937.59,187.52,CONMEBOL,1/18/18
